IncidntNum,Category,Descript,DayOfWeek,Date,Time,Resolution,Address
40188309,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Sunday,02/15/2004,02:00,NONE,BRANNAN ST / 1ST ST
136051597,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,03/14/2013,09:21,NONE,1300 Block of STEVENSON ST
136188269,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,10/08/2013,19:30,NONE,VALENCIA ST / DUBOCE AV
40989389,OTHER OFFENSES,FALSE REPORT OF BOMB,Sunday,08/29/2004,22:47,NONE,300 Block of WOODSIDE AV
50850582,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,07/29/2005,21:00,NONE,0 Block of RAE AV
130855820,FRAUD,"CREDIT CARD, THEFT BY USE OF",Tuesday,10/08/2013,21:11,NONE,2600 Block of GEARY BL
110916878,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,11/13/2011,10:15,"ARREST, CITED",PHELPS ST / EVANS AV
51165156,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,10/15/2005,13:00,NONE,DIVISADERO ST / SUTTER ST
50992009,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Saturday,09/03/2005,21:21,NONE,1500 Block of 12TH AV
91184467,"SEX OFFENSES, FORCIBLE","FORCIBLE RAPE, BODILY FORCE",Monday,11/16/2009,12:49,DISTRICT ATTORNEY REFUSES TO PROSECUTE,500 Block of JONES ST
30062280,ASSAULT,BATTERY,Thursday,01/16/2003,08:10,NONE,ELLIS ST / TAYLOR ST
136070412,NON-CRIMINAL,LOST PROPERTY,Saturday,04/20/2013,16:00,NONE,300 Block of LINDEN ST
30035287,BURGLARY,"BURGLARY,BLDG. UNDER CONSTRUCTION, UNLAWFUL ENTRY",Wednesday,01/08/2003,16:00,NONE,1800 Block of MARIN ST
90288288,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,03/19/2009,09:10,"ARREST, CITED",TREAT AV / 25TH ST
31441619,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Thursday,12/11/2003,10:40,NONE,100 Block of SUTTER ST
